Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
51250	253	231	0	39	15	0	0	945014	5	1	0	0	0	879974	0	1524212	39	1567760	0	1451652	2147861
51500	262	243	0	0	25	0	0	988667	7	3	0	0	1	768399	0	1547205	18	1581445	0	1446605	2157320
51750	251	237	2	18	36	0	1	927505	46	6	0	0	0	893945	0	1508467	25	1569458	0	1466899	2150970
52000	261	275	0	0	27	0	0	984077	6	1	0	0	0	948662	0	1587880	22	1572260	0	1479155	2171517
52250	264	261	9	1	131	0	0	980175	14	4	0	0	0	972452	0	1621525	94	1590979	0	1525261	2191126
52500	259	4277	0	0	30	0	0	996488	1	5	0	0	1	1036860	0	1554357	22	1607877	0	1527140	2191388
52750	252	231	0	0	25	1	0	974435	23	16	0	0	0	778010	0	1630513	20	1594929	0	1526346	2219459
53000	4285	260	0	25	30	0	23	955297	23	25	0	0	0	902118	0	1661281	25	1641319	0	1547060	2202859
53250	262	252	0	0	65	0	0	1004501	11	16	0	0	3	957012	24	1608851	66	1621777	0	1561584	2228971
53500	147	163	0	0	8	6	1	583452	3	28	0	0	1	586607	0	912897	59	935822	1	905904	1294643

